lat,long,cropland,wildareas-v3-1993-human-footprint,wildareas-v3-2009-human-footprint,trees,grassland,shrubs,water
38.25085,128.56472,0.05009999871253967,16,16,0.07599999755620956,0.02370000071823597,0,0.335099995136261
37.67713,128.71833,0.5562000274658203,31,33,0.10279999673366547,0.14149999618530273,0,0
37.90256,127.7357,0.32710000872612,34,35,0.05640000104904175,0.006300000008195639,0,0
37.75147,128.89098,9.999999747378752e-5,41,42,0.06629999727010727,0.002099999925121665,0,0
37.57142,126.9658,6.000000284984708e-4,38,38,0.0885000005364418,0.005200000014156103,0,0
37.47772,126.6249,0.0020000000949949026,21,16,0.15160000324249268,0.0071000000461936,0,0
37.33756,127.9466,0.0027000000700354576,42,44,0.04919999837875366,0.02410000003874302,0,0
37.48129,130.89864,1.9999999494757503e-4,0,0,0.7159000039100647,0.02979999966919422,0,0.03880000114440918
37.27226,126.98533,0.1972000002861023,44,43,0.13169999420642853,0.010099999606609344,0,0.001500000013038516
36.97038,127.95266,0.5659999847412109,27,29,0.11949999630451202,0.01549999974668026,3.000000142492354e-4,0
36.77661,126.49391,0.421999990940094,27,28,0.12950000166893005,0.020099999383091927,0,0
36.99176,129.41278,0.1185000017285347,30,33,0.3718000054359436,0.07360000163316727,0,0.020600000396370888
36.63924,127.44066,0.007600000128149986,40,40,0.09539999812841415,3.9999998989515007e-4,0,0
36.372,127.37212,0.094200000166893,30,31,0.3666999936103821,0.06870000064373016,1.9999999494757503e-4,0.08510000258684158
36.22023,127.99457,0.4821999967098236,35,24,0.20430000126361847,0.05220000073313713,0,0
36.03201,129.38002,0.006500000134110451,22,21,0.011599999852478504,0.005400000140070915,0,0.2599000036716461
36.0053,126.76135,0.1476999968290329,27,28,0.45019999146461487,0.051899999380111694,3.000000142492354e-4,0
35.87797,128.65295,0.029400000348687172,43,43,0.2004999965429306,0.03180000185966492,0,0.1941000074148178
35.8408,127.119,0.053599998354911804,43,43,0.13760000467300415,0.015399999916553497,0,0
35.5825,129.3347222,0.04050000011920929,36,36,0.25780001282691956,0.13809999823570251,0,0
35.17294,126.89158,0.028300000354647636,41,41,0.033399999141693115,0.015799999237060547,0,0.030799999833106995
35.10468,129.03203,0,40,39,0.18080000579357147,0.002199999988079071,0,0
34.84546,128.4356,0.016499999910593033,28,31,0.4625999927520752,0.05550000071525574,0,0.19470000267028809
34.81689,126.38121,0.08060000091791153,5,0,0.07460000365972519,0.020600000396370888,0,0.1290999948978424
34.73929,127.74064,0,43,43,0.024800000712275505,0.0017999999690800905,0,0.5192999839782715
34.39587,126.70184,0.3084999918937683,11,11,0.08479999750852585,0.015699999406933784,0,0.4345000088214874
33.51411,126.52968,0.00559999980032444,37,37,0.0348999984562397,0.009100000374019146,0,0.00839999970048666
33.38677,126.8802,0.4025000035762787,20,25,0.3747999966144562,0.022700000554323196,0,0.0044999998062849045
33.24613,126.56534,0.0052999998442828655,35,35,0.1738000065088272,0.006500000134110451,0,0.033900000154972076
35.16379,128.04002,0.024700000882148743,27,27,0.4115000069141388,0.017899999395012856,0,0.3188000023365021
37.70739,126.44634,0.5760999917984009,21,33,0.13179999589920044,0.029899999499320984,1.9999999494757503e-4,0
37.48863,127.49446,0.05460000038146973,45,45,0.1647000014781952,0.01600000075995922,0,0.06880000233650208
37.26399,127.48421,0.6309000253677368,37,37,0.12389999628067017,0.00419999985024333,0,0
38.05987,128.16713,0.14239999651908875,18,29,0.1273999959230423,0.011500000022351742,0,0.09549999982118607
37.68358,127.8804,0.014999999664723873,31,32,0.07440000027418137,0.0027000000700354576,0,0.1006999984383583
37.15927,128.19431,0.6068999767303467,27,28,0.1145000010728836,0.013100000098347664,0,0
36.48759,127.73412,0.30000001192092896,32,32,0.4810999929904938,0.04270000010728836,0,0
36.7624,127.2927,0.16850000619888306,27,28,0.22339999675750732,0.037300001829862595,0,0
36.32724,126.55744,0.46140000224113464,24,27,0.3465000092983246,0.021900000050663948,0,0
36.27242,126.92079,0.39430001378059387,33,32,0.21209999918937683,0.023800000548362732,0,0
36.1027,127.4817,0.15919999778270721,29,28,0.11379999667406082,0.03350000083446503,0,0
35.72954,126.71655,0.4390000104904175,32,32,0.29980000853538513,0.018699999898672104,0,0
35.61203,127.28556,0.23980000615119934,35,37,0.1200999990105629,0.040699999779462814,0,0
35.56306,126.83917,0.1662999987602234,39,39,0.28529998660087585,0.05119999870657921,0,0
34.68875,126.91949,0.5479000210762024,31,31,0.19779999554157257,0.03189999982714653,0,0
34.55375,126.56907,0.8510000109672546,23,23,0.0026000000070780516,0.024299999698996544,9.999999747378752e-5,0
34.61826,127.27572,0.06599999964237213,30,29,0.8629999756813049,0.01720000058412552,0,0
36.87188,128.51696,0.3028999865055084,42,43,0.010999999940395355,0.028699999675154686,0,0
36.62727,128.148,0.22339999675750732,25,38,0.5310999751091003,0.057999998331069946,0,0
36.53331,129.40936,0.07840000092983246,32,31,0.7886000275611877,0.045899998396635056,0,3.000000142492354e-4
36.35611,128.688,0.18000000715255737,39,39,0.36820000410079956,0.06400000303983688,0.0010000000474974513,0
36.13,128.32,0.07670000195503235,42,44,0.37709999084472656,0.019700000062584877,0,0.013899999670684338
35.97743,128.95141,0.37700000405311584,28,27,0.02449999935925007,0.012600000016391277,3.9999998989515007e-4,0.03999999910593033
35.6674,127.909,0.4553999900817871,32,32,0.12720000743865967,0.04470000043511391,0,0
35.56503,128.16986,0.149399995803833,31,31,0.07419999688863754,0.04179999977350235,0,0.3831000030040741
