lat,long,cropland,wildareas-v3-1993-human-footprint,wildareas-v3-2009-human-footprint,trees,grassland,shrubs,water
47.056436,7.012192,0.06539999693632126,32,30,0.4697999954223633,0.4196999967098236,0,0
46.400261,8.127792,0,25,25,0.7174000144004822,0.2012999951839447,0,0
45.988267,7.180528,0.04569999873638153,9,13,0.14800000190734863,0.7730000019073486,0,0
47.002858,6.728592,0,21,24,0.8456000089645386,0.14190000295639038,0,0
47.157753,7.214464,0.09130000323057175,30,30,0.4675000011920929,0.41179999709129333,0,0
46.761672,7.098294,0.06639999896287918,31,33,0.2831000089645386,0.4320000112056732,0,0
46.965036,9.685814,0.00430000014603138,16,21,0.8981999754905701,0.013000000268220901,0,0.006099999882280827
46.965358,9.632064,0,8,11,0.8607000112533569,0.12759999930858612,0,0
46.048003,6.993797,0.0026000000070780516,4,6,0.4909999966621399,0.4796000123023987,0,0
46.712292,6.379286,0.0020000000949949026,32,38,0.2775000035762787,0.24120000004768372,0,0.004100000020116568
47.291794,7.941003,0.10459999740123749,43,43,0.19259999692440033,0.08799999952316284,0,0
47.151194,7.254139,0.00430000014603138,45,45,0.9376999735832214,0.03400000184774399,0,0
47.415283,9.182167,3.9999998989515007e-4,30,30,0.4059999883174896,0.33399999141693115,0,0
47.481403,7.730519,0.0017999999690800905,40,40,0.6818000078201294,0.03229999914765358,0,0
47.108222,9.217372,0,24,19,0.7907000184059143,0.20900000631809235,0,0
47.620414,8.542733,0.0024999999441206455,31,26,0.756600022315979,0.1995999962091446,0,0
47.338319,8.153353,0.1599999964237213,26,26,0.4198000133037567,0.4090000092983246,0,0
46.290431,6.137128,0.2508000135421753,43,43,0.6858000159263611,0.04439999908208847,0,0
47.289853,9.104422,0.0010999999940395355,39,29,0.7204999923706055,0.16689999401569366,0,0
47.279603,8.027331,0.0414000004529953,20,17,0.7971000075340271,0.15700000524520874,0,0
47.350869,8.510678,0.0017999999690800905,36,36,0.5781000256538391,0.14550000429153442,0,0
46.600961,9.422614,0.009700000286102295,12,16,0.6110000014305115,0.3093000054359436,0,0.03359999880194664
46.722633,6.536061,0.11630000174045563,23,26,0.14790000021457672,0.267300009727478,0,0.0032999999821186066
46.195022,8.056794,0.0019000000320374966,10,13,0.387800008058548,0.47450000047683716,0,0
46.177483,6.014089,0.012400000356137753,29,29,0.6693999767303467,0.15940000116825104,0,0.14550000429153442
46.9213,6.637761,0.01549999974668026,22,28,0.4009999930858612,0.38850000500679016,0,0.003599999938160181
46.894217,8.252236,0.0024999999441206455,39,40,0.30559998750686646,0.45969998836517334,0,0
47.277122,8.916314,3.9999998989515007e-4,42,40,0.44929999113082886,0.20100000500679016,0,0
46.756178,6.490211,0.16740000247955322,13,10,0.23919999599456787,0.5296000242233276,0,0
46.236078,8.725292,0,32,23,0.954800009727478,0.030799999833106995,0,0
46.265447,10.115375,0,23,20,0.8396999835968018,0.15520000457763672,0,0
46.699461,8.850803,0.003800000064074993,18,18,0.7159000039100647,0.23319999873638153,0,0.012299999594688416
46.898653,7.932344,5.000000237487257e-4,22,21,0.3837999999523163,0.6129000186920166,0,0
46.921942,9.172731,0.02930000051856041,17,19,0.4894999861717224,0.4083999991416931,0,9.999999747378752e-5
46.736853,8.351842,0.004600000102072954,8,9,0.5702000260353088,0.3898000121116638,0,9.999999747378752e-5
46.274817,7.065661,0,17,21,0.7605999708175659,0.17730000615119934,0,0
47.047992,6.754314,0.002899999963119626,27,27,0.19599999487400055,0.7213000059127808,0,0
46.75275,8.137867,0.002199999988079071,24,23,0.5426999926567078,0.39980000257492065,0,0
47.561983,7.850547,0.48089998960494995,38,38,0.12319999933242798,0.3528999984264374,0,0
47.050589,9.439256,0,42,41,0.7170000076293945,0.2184000015258789,0,0
46.709511,9.44165,0.08399999886751175,41,41,0.1964000016450882,0.4805999994277954,0,0
46.622889,9.182461,6.000000284984708e-4,10,10,0.4262000024318695,0.43220001459121704,0,0
46.225417,8.605172,0,2,2,0.9269999861717224,0.05990000069141388,0,0
46.648728,7.182475,0,12,12,0.23770000040531158,0.7541000247001648,0,0
47.223239,8.679778,0.006500000134110451,39,39,0.5561000108718872,0.17900000512599945,0,0.02459999918937683
