lat,long,wc2.1_30s_bio_1,wc2.1_30s_bio_2,wc2.1_30s_bio_3,wc2.1_30s_bio_4,wc2.1_30s_bio_5,wc2.1_30s_bio_6,wc2.1_30s_bio_7,wc2.1_30s_bio_8,wc2.1_30s_bio_9,wc2.1_30s_bio_10,wc2.1_30s_bio_11,wc2.1_30s_bio_12,wc2.1_30s_bio_13,wc2.1_30s_bio_14,wc2.1_30s_bio_15,wc2.1_30s_bio_16,wc2.1_30s_bio_17,wc2.1_30s_bio_18,wc2.1_30s_bio_19
47.056436,7.012192,7.454166889190674,8.074999809265137,32.56048583984375,628.31829833984375,21.299999237060547,-3.5,24.799999237060547,13.466666221618652,0.9000000357627869,15.266666412353516,-0.06666664034128189,1147,115,78,11.667738914489746,324,246,324,265
46.400261,8.127792,5.929166793823242,9.241666793823242,35.273536682128906,634.1868896484375,20.299999237060547,-5.900000095367432,26.19999885559082,13.833333015441895,-1.600000023841858,13.833333015441895,-1.600000023841858,1105,120,64,20.544815063476563,347,204,347,204
45.988267,7.180528,5.387500286102295,8.675000190734863,33.62403106689453,636.571533203125,19.700000762939453,-6.099999904632568,25.80000114440918,-2.0999999046325684,13.083333969116211,13.283333778381348,-2.0999999046325684,1123,117,74,15.2711763381958,333,240,263,333
47.002858,6.728592,5.550000190734863,7.75,32.02479553222656,617.575927734375,19,-5.199999809265137,24.200000762939453,-0.6166666746139526,0.9333333373069763,13.216666221618652,-1.7333333492279053,1391,135,99,9.018320083618164,377,319,354,371
47.157753,7.214464,7.9041666984558105,8.041666984558105,32.689701080322266,625.185302734375,21.600000381469727,-3,24.600000381469727,13.933333396911621,1.4666666984558105,15.699999809265137,0.4333333671092987,1127,117,75,14.427863121032715,334,231,327,247
46.761672,7.098294,8.399999618530273,9.116666793823242,34.14481735229492,656.66510009765625,23.200000762939453,-3.5,26.700000762939453,16.600000381469727,1.7000000476837158,16.600000381469727,0.4999999701976776,1068,113,70,17.3819580078125,327,210,327,221
46.965036,9.685814,7.891666412353516,9.316666603088379,35.2904052734375,644.4759521484375,21.899999618530273,-4.5,26.399999618530273,15.766666412353516,1.1833332777023315,15.766666412353516,-0.01666668988764286,1126,142,67,29.242820739746094,406,204,406,211
46.965358,9.632064,7.4666666984558105,9.199999809265137,35.24904251098633,638.005859375,21.299999237060547,-4.800000190734863,26.099998474121094,15.316666603088379,0.8333333134651184,15.316666603088379,-0.28333333134651184,1201,151,71,29.448129653930664,432,214,432,221
46.048003,6.993797,5.2166666984558105,8.166666984558105,32.66666793823242,627.916259765625,19.100000381469727,-5.900000095367432,25,-2.0833334922790527,12.866666793823242,13.033333778381348,-2.0833334922790527,1273,134,85,14.789417266845703,376,271,295,376
46.712292,6.379286,7.679166793823242,7.941666603088379,32.022850036621094,633.28314208984375,21.5,-3.299999952316284,24.799999237060547,4.150000095367432,3.3333332538604736,15.533333778381348,0.050000011920928955,1306,125,94,8.197299003601074,347,294,335,323
47.291794,7.941003,9.425000190734863,8.916666984558105,33.52130126953125,663.641845703125,24.200000762939453,-2.4000000953674316,26.600000381469727,16.100000381469727,2.633333206176758,17.683334350585938,1.3666666746139526,1193,125,79,13.444541931152344,350,254,350,275
47.151194,7.254139,8.699999809265137,8.516666412353516,33.1387825012207,642.7745361328125,23,-2.700000047683716,25.700000762939453,14.966667175292969,2.116666793823242,16.71666717529297,0.9666666984558105,1043,112,66,18.026704788208008,321,201,312,214
47.415283,9.182167,8.4375,7.9083333015441895,31.25823402404785,663.80487060546875,22.299999237060547,-3,25.299999237060547,16.616666793823242,1.5333333015441895,16.616666793823242,0.3333333432674408,1180,145,61,28.851255416870117,419,202,419,210
47.481403,7.730519,9.670833587646484,8.558333396911621,33.300907135009766,646.26361083984375,23.899999618530273,-1.7999999523162842,25.69999885559082,16.100000381469727,3.0500001907348633,17.71666717529297,1.8333333730697632,1020,106,64,15.20141887664795,308,207,298,230
47.108222,9.217372,8.004166603088379,7.274999618530273,31.089744567871094,611.24114990234375,20.799999237060547,-2.5999999046325684,23.399999618530273,15.600000381469727,1.5833333730697632,15.600000381469727,0.7333333492279053,1336,168,76,28.312456130981445,477,239,477,248
47.620414,8.542733,8.675000190734863,8.550000190734863,32.50950622558594,672.36181640625,23.299999237060547,-3,26.299999237060547,17.016666412353516,1.7666667699813843,17.016666412353516,0.5166667103767395,978,109,61,16.340152740478516,299,208,299,232
47.338319,8.153353,8.816666603088379,8.766666412353516,33.33333206176758,655.987548828125,23.399999618530273,-2.9000000953674316,26.299999237060547,16.983333587646484,4.699999809265137,16.983333587646484,0.8666666746139526,1270,131,86,12.588878631591797,371,278,371,307
