lat,long,bdod_0-5cm_mean,cec_0-5cm_mean,cfvo_0-5cm_mean,clay_0-5cm_mean,nitrogen_0-5cm_mean,ocd_0-5cm_mean,ocs_0-30cm_mean,phh2o_0-5cm_mean,sand_0-5cm_mean,silt_0-5cm_mean,soc_0-5cm_mean
47.131972,8.748844,101,382,57,246,779,675,89,56,393,362,1063
47.442925,9.533178,100,316,69,284,857,639,80,59,364,353,910
47.062769,8.342442,103,417,40,213,729,687,82,58,451,336,1036
47.265317,8.332283,98,352,66,219,723,739,90,62,417,364,896
47.481914,8.332208,102,275,58,218,652,679,77,48,365,417,858
46.143428,8.841697,115,296,50,123,670,601,70,56,517,360,787
46.872614,8.658569,99,357,74,256,740,692,89,57,390,354,891
46.18625,7.21845,106,306,102,203,735,558,86,59,367,430,1078
46.884997,10.464608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46.2415,6.850589,91,411,77,284,916,721,101,57,303,414,1354
47.656878,8.490242,105,285,98,348,718,556,68,54,310,342,801
47.472492,9.494931,100,316,69,284,857,639,80,59,364,353,910
46.808222,7.716267,107,366,43,283,828,673,80,58,356,362,911
46.527333,8.932936,94,322,67,173,786,701,89,55,488,339,1002
47.381992,7.215775,117,297,40,339,718,610,68,64,206,455,739
47.563608,9.376172,124,253,61,271,692,554,65,64,340,389,438
47.698183,8.457489,121,302,42,384,624,517,63,65,217,399,579
47.381969,9.348772,105,330,87,263,873,620,82,58,385,352,876
47.076869,9.479753,103,382,104,251,865,663,92,58,355,394,970
46.474036,6.835272,113,366,69,237,774,656,79,62,409,353,856
47.342472,8.444342,109,326,64,296,839,661,74,62,340,364,750
46.924433,7.577772,117,363,67,200,714,594,66,60,489,312,564
47.536489,8.819919,124,273,59,271,641,554,62,63,364,365,428
46.794394,10.296356,111,310,86,196,771,620,69,62,507,297,707
45.857811,9.033789,115,265,94,216,597,576,70,62,429,355,785
46.464014,6.891869,113,364,68,243,887,672,87,59,389,368,1097
46.841619,6.848706,115,332,53,200,683,579,62,64,509,291,746
46.442531,8.950197,94,309,89,159,761,696,87,53,515,326,1127
47.265314,7.165786,95,453,35,376,834,701,96,61,188,436,972
46.172556,8.787417,115,288,80,122,685,629,72,58,606,272,871
47.560647,8.887883,121,288,64,238,699,575,62,61,423,338,445
47.567569,9.125747,124,291,62,232,660,558,60,65,378,390,408
46.717125,7.569428,95,330,70,305,975,677,88,54,326,369,1127
47.514847,9.098194,119,304,61,271,825,592,70,60,369,360,552
47.632486,9.048642,112,281,85,269,765,584,67,59,407,325,512
46.782531,8.669625,88,372,67,197,824,700,96,56,478,325,910
46.293494,7.892842,108,307,141,207,634,565,75,62,377,417,933
47.461458,9.056733,119,320,65,247,799,587,77,62,394,359,551
47.064342,8.071028,98,419,45,216,741,721,97,59,428,357,896
46.603731,7.921556,96,349,88,219,981,628,86,56,429,353,1298
47.320664,8.814333,119,341,64,249,813,573,69,58,393,359,742
47.049108,6.978031,92,421,81,302,882,742,104,61,278,420,1294
46.365406,7.065819,99,367,83,291,1143,667,100,59,314,395,1313
46.982014,6.599133,92,409,53,407,780,725,99,61,208,385,1037
47.481642,7.611114,123,276,59,256,570,555,58,64,234,511,459
46.603092,10.421956,106,307,71,218,649,559,62,64,406,376,709
47.158028,9.469656,99,340,94,255,932,651,83,56,334,411,927
47.205022,9.352617,87,444,92,266,928,700,104,54,349,385,1206
46.949492,6.834386,121,314,40,289,612,594,62,69,411,301,542
47.441186,7.597728,115,283,57,346,690,618,67,62,217,437,612
46.438214,7.269478,92,325,79,257,879,613,89,57,336,407,1168
47.499697,7.558086,125,285,35,325,509,547,55,64,136,539,459
47.166514,8.28935,115,396,40,219,669,639,72,61,429,352,803
47.048228,7.409689,118,352,25,191,645,572,66,59,522,288,559
46.684958,7.854311,99,391,67,243,996,687,87,54,409,349,1112
47.049108,7.507072,111,350,33,187,800,596,69,55,573,241,748
45.870208,8.967242,121,265,71,208,604,565,69,60,469,323,731
47.079619,7.5848,119,318,51,187,712,549,64,59,485,328,602
46.939633,7.806425,94,379,60,245,827,729,98,58,416,339,1031
47.000444,6.935714,94,404,97,299,889,734,97,59,313,388,1299
46.554378,6.374472,111,381,71,305,809,621,96,61,342,354,1168
46.311967,8.987064,94,275,105,169,742,647,84,50,502,330,1017
46.570078,7.619381,99,373,94,265,992,642,84,57,341,395,1248
46.477880999999996,8.800878,91,281,86,148,759,703,84,52,541,311,942
46.811581,6.942469,123,338,36,184,650,579,60,62,535,282,666
47.493131,7.589494,123,276,59,256,570,555,58,64,234,511,459
46.046497,8.888964,106,287,98,203,705,642,79,52,468,330,859
46.537211,6.543094,124,337,72,205,721,590,70,63,397,399,738
47.420981,8.273286,118,277,73,189,701,627,73,59,465,347,586
47.403389,9.326614,108,313,55,268,922,609,83,60,374,359,818
46.495636,7.671325,100,346,114,229,970,604,91,56,370,401,1510
